SP Name,Service Name,Tariff,Short Code,Opt-In,Opt-Out,Out Of Balance,Charged Units,Total Revenue,Date
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,0,1,300.00 IQD,8/27/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/27/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/27/2024
MobMerchant,Pocket Library,300 IQD,4054,0,0,74,48,"14,400.00 IQD",8/26/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,2,218,143,"42,900.00 IQD",8/26/2024
Window,Arab Cooking,300 IQD,4054,1,1,0,0,0.00 IQD,8/26/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,2,0,0.00 IQD,8/26/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,4,0,0,0.00 IQD,8/26/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,12,680,586,"175,800.00 IQD",8/26/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,16,17,"5,100.00 IQD",8/26/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,2,408,389,"116,700.00 IQD",8/26/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,55,58,"17,400.00 IQD",8/26/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,8,1562,1572,"471,600.00 IQD",8/26/2024
Window,GameZilla-SOnline,300 IQD,4054,0,2,177,156,"46,800.00 IQD",8/26/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,1,132,111,"33,300.00 IQD",8/26/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,6,703,666,"199,800.00 IQD",8/26/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,12,5,"1,500.00 IQD",8/26/2024
Window,Valorant Heros,300 IQD,4054,0,0,2,0,0.00 IQD,8/26/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,1,226,244,"73,200.00 IQD",8/26/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,5,541,543,"162,900.00 IQD",8/26/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,24,22,"6,600.00 IQD",8/26/2024
Window,Video Games Tutorial,300 IQD,4054,0,0,28,8,"2,400.00 IQD",8/26/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,4,294,291,"87,300.00 IQD",8/26/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,0,82,74,"22,200.00 IQD",8/26/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,12,646,622,"186,600.00 IQD",8/26/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,3,243,247,"74,100.00 IQD",8/26/2024
Servas,Gaming portal,300 IQD,4054,0,0,4,1,300.00 IQD,8/26/2024
Servas,Women portal,300 IQD,4054,0,0,1,0,0.00 IQD,8/26/2024
